학교,학과,학년-학기,학기,이수구분,학수번호,교과목명,영문교과목명,학점(시간)
건국대,행정학과,02월 01일,,전선,BSCA51041,공공인적자원관리론,PUBLIC HUMAN RESOURCE MANAGEMENT,3(3)
건국대,행정학과,02월 01일,,전선,BSCA50996,사회과학탐구의논리,THE LOGIC OF SOCIAL SCIENCE RESEARCH,3(3)
건국대,행정학과,02월 01일,,전선,BSCA06558,조직관리론,ADMINISTRATIVE ORGANIZATION & MANAGEMENT,3(3)
건국대,행정학과,02월 01일,,전선,BSCA39773,행정계량분석1,ADVANCED STATISTICAL ANALYSIS FOR PUBLIC POLICY AND ADMINISTRATION 1.,3(3)
건국대,행정학과,"2-1,2",,전선,BSCA06408,행정학개론,INTRODUCTION TO PUBLIC ADMINISTRATION,3(3)
건국대,행정학과,02월 02일,,전선,BSCA64314,공공데이터의분석과응용,PUBLIC DATA ANALYSIS AND APPLICATIONS,3(3)
건국대,행정학과,02월 02일,,전선,BSCA64315,공직적성의이해,UNDERSTANDING PUBLIC SERVICE APTITUDE,3(3)
건국대,행정학과,02월 02일,,전선,BSCA50998,도시생활과공공거버넌스,URBAN LIFE AND PUBLIC GOVERNANCE,3(3)
건국대,행정학과,02월 02일,,전선,BSCA12995,정책학개론,THEORIES OF PUBLIC POLICY,3(3)
건국대,행정학과,02월 02일,,전선,BSCA06559,조직행태론,ORGANIZATION BEHAVIOR,3(3)
건국대,행정학과,02월 02일,,전선,BSCA50999,현대사회와전자정부,E-GOVERNMENT IN CONTEMPORARY SOCIETY,3(3)
건국대,행정학과,03월 01일,,전선,BSCA68363,FINANCIAL ADMINISTRATION,FINANCIAL ADMINISTRATION,3(3)
건국대,행정학과,03월 01일,,전선,BSCA25503,공공서비스론,THEORY OF PUBLIC SERVICE,3(3)
건국대,행정학과,03월 01일,,전선,BSCA06538,과학기술정책론,SCIENCE & TECHNOLOGY AND PUBLIC POLICY,3(3)
건국대,행정학과,03월 01일,,전선,BSCA06552,재무행정론,FINANCIAL ADMINISTRATION,3(3)
